    20    1.6000001e-03    2.2862059e-01     11    1.7887865e+01
    40    3.2000002e-03    2.5664693e-01     12    1.7516462e+01
    60    4.8000002e-03    2.8592116e-01     14    1.8296391e+01
    80    6.4000003e-03    3.1469986e-01     15    1.7986689e+01
   100    8.0000004e-03    3.4477210e-01     17    1.8795151e+01
   120    9.6000005e-03    3.7424412e-01     18    1.8420013e+01
   140    1.1200001e-02    4.0491045e-01     20    1.9166451e+01
   160    1.2800001e-02    4.3489334e-01     21    1.8739307e+01
   180    1.4400001e-02    4.6602896e-01     23    1.9459761e+01
   200    1.6000001e-02    4.9642876e-01     24    1.8999874e+01
   220    1.7600002e-02    5.2786660e-01     26    1.9648651e+01
   240    1.9200001e-02    5.5875963e-01     27    1.9308142e+01
   260    2.0800002e-02    5.9024680e-01     29    1.9679478e+01
   280    2.2400001e-02    6.2183422e-01     31    1.9742138e+01
   300    2.4000002e-02    6.5309882e-01     32    1.9540377e+01
   320    2.5600001e-02    6.8518335e-01     34    2.0052828e+01
   340    2.7200002e-02    7.1646982e-01     35    1.9554049e+01
   360    2.8800001e-02    7.4867982e-01     37    2.0131245e+01
   380    3.0400002e-02    7.8052980e-01     39    1.9906237e+01
   400    3.2000002e-02    8.1238717e-01     40    1.9910856e+01
   420    3.3600003e-02    8.4483874e-01     42    2.0282230e+01
   440    3.5200004e-02    8.7649679e-01     43    1.9786282e+01
   460    3.6800001e-02    9.0903062e-01     45    2.0333639e+01
   480    3.8400002e-02    9.4129521e-01     47    2.0165367e+01
   500    4.0000003e-02    9.7332776e-01     48    2.0020342e+01
   520    4.1600004e-02    1.0060920e+00     50    2.0477621e+01
   540    4.3200001e-02    1.0380787e+00     51    1.9991695e+01
   560    4.4800002e-02    1.0706929e+00     53    2.0383894e+01
   580    4.6400003e-02    1.1034201e+00     55    2.0454525e+01
   600    4.8000004e-02    1.1354789e+00     56    2.0036697e+01
   620    4.9600001e-02    1.1684102e+00     58    2.0582079e+01
   640    5.1200002e-02    1.2009417e+00     60    2.0332186e+01
   660    5.2800003e-02    1.2333230e+00     61    2.0238310e+01
   680    5.4400004e-02    1.2663783e+00     63    2.0659565e+01
   700    5.6000005e-02    1.2986934e+00     64    2.0196959e+01
   720    5.7600003e-02    1.3314842e+00     66    2.0494236e+01
