   2.7012441e+00    9.5113251e+00
   2.9001999e+00    5.2794185e+00
   3.1049333e+00    5.1761688e+00
   3.3156518e+00    5.4411110e+00
   3.5316775e+00    5.6291907e+00
   3.7522175e+00    5.6743227e+00
   3.9765391e+00    5.5889831e+00
   4.2042498e+00    5.4987318e+00
   4.4348135e+00    5.3272952e+00
   4.6677965e+00    5.1026791e+00
   4.9028563e+00    4.8487307e+00
   5.1397201e+00    4.5813220e+00
   5.3781682e+00    4.3109134e+00
   5.6180229e+00    4.0446375e+00
   5.8591386e+00    3.7869843e+00
   6.1013948e+00    3.5406147e+00
   6.3446905e+00    3.3069695e+00
   6.5889412e+00    3.0869955e+00
   6.8340728e+00    2.8800433e+00
   7.0800229e+00    2.6865926e+00
   7.3267356e+00    2.5054511e+00
   7.5741641e+00    2.3369854e+00
   7.8222647e+00    2.1795993e+00
   8.0709988e+00    2.0327364e+00
   8.3203322e+00    1.8959513e+00
   8.5702350e+00    1.7688591e+00
   8.8206762e+00    1.6493341e+00
   9.0716330e+00    1.5390111e+00
   9.3230792e+00    1.4350099e+00
   9.5749938e+00    1.3382250e+00
   9.8273576e+00    1.2481889e+00
   1.0080150e+01    1.1631671e+00
   1.0333355e+01    1.0843244e+00
   1.0586955e+01    1.0097668e+00
   1.0840935e+01    9.4011624e-01
   1.1095281e+01    8.7502270e-01
   1.1349979e+01    8.1313396e-01
   1.1605018e+01    7.5596958e-01
   1.1860384e+01    7.0158845e-01
   1.2116066e+01    6.5017778e-01
   1.2372056e+01    6.0306329e-01
   1.2628341e+01    5.5768672e-01
   1.2884914e+01    5.1543303e-01
   1.3141766e+01    4.7559226e-01
   1.3398888e+01    4.3852508e-01
   1.3656272e+01    4.0321757e-01
   1.3913913e+01    3.7079165e-01
   1.4171802e+01    3.3992879e-01
   1.4429934e+01    3.1143304e-01
   1.4688300e+01    2.8401187e-01
   1.4946900e+01    2.5992847e-01
   1.5205726e+01    2.3720094e-01
   1.5464771e+01    2.1564850e-01
   1.5724036e+01    1.9684174e-01
   1.5983513e+01    1.7924239e-01
   1.6243199e+01    1.6334867e-01
   1.6503091e+01    1.4904645e-01
   1.6763166e+01    1.2921567e-01
   1.7023411e+01    1.0652490e-01
   1.7283819e+01    8.4356502e-02
   1.7544387e+01    6.3296683e-02
   1.7805114e+01    4.3919963e-02
   1.8065994e+01    2.4741578e-02
   1.8327026e+01    7.7632845e-03
   1.8588205e+01    9.2171004e-03
   1.8849532e+01    2.4188045e-02
   1.9111003e+01    3.8610034e-02
   1.9372617e+01    5.1191033e-02
   1.9634374e+01    6.2683712e-02
   1.9896270e+01    7.3166044e-02
   2.0158304e+01    8.2704947e-02
   2.0420479e+01    8.9967433e-02
   2.0682790e+01    9.7104326e-02
   2.0945237e+01    1.0278265e-01
   2.1207825e+01    1.0567187e-01
   2.1470549e+01    1.0859197e-01
   2.1733413e+01    1.0882605e-01
