    20    1.6000001e-03    2.6241136e-01    3.9007095e+01
    40    3.2000002e-03    3.2481515e-01    3.9002373e+01
    60    4.8000002e-03    3.8767147e-01    3.9285194e+01
    80    6.4000003e-03    4.5086250e-01    3.9494389e+01
   100    8.0000004e-03    5.1441205e-01    3.9718468e+01
   120    9.6000005e-03    5.7849091e-01    4.0049290e+01
   140    1.1200001e-02    6.4316463e-01    4.0421074e+01
   160    1.2800001e-02    7.0762360e-01    4.0286854e+01
   180    1.4400001e-02    7.7199119e-01    4.0229744e+01
   200    1.6000001e-02    8.3661526e-01    4.0390041e+01
   220    1.7600002e-02    9.0189970e-01    4.0802769e+01
   240    1.9200001e-02    9.6699184e-01    4.0682590e+01
   260    2.0800002e-02    1.0318016e+00    4.0506084e+01
   280    2.2400001e-02    1.0968127e+00    4.0631962e+01
   300    2.4000002e-02    1.1624849e+00    4.1045097e+01
   320    2.5600001e-02    1.2278103e+00    4.0828362e+01
   340    2.7200002e-02    1.2928630e+00    4.0657967e+01
   360    2.8800001e-02    1.3582354e+00    4.0857716e+01
   380    3.0400002e-02    1.4241514e+00    4.1197536e+01
   400    3.2000002e-02    1.4895098e+00    4.0848999e+01
   420    3.3600003e-02    1.5547585e+00    4.0780453e+01
   440    3.5200004e-02    1.6205922e+00    4.1146053e+01
   460    3.6800001e-02    1.6864458e+00    4.1158497e+01
   480    3.8400002e-02    1.7517978e+00    4.0844975e+01
   500    4.0000003e-02    1.8173275e+00    4.0956062e+01
   520    4.1600004e-02    1.8835031e+00    4.1359737e+01
   540    4.3200001e-02    1.9491274e+00    4.1015221e+01
   560    4.4800002e-02    2.0145638e+00    4.0897724e+01
   580    4.6400003e-02    2.0805819e+00    4.1261314e+01
   600    4.8000004e-02    2.1466110e+00    4.1268169e+01
   620    4.9600001e-02    2.2121136e+00    4.0939152e+01
   640    5.1200002e-02    2.2778382e+00    4.1077881e+01
   660    5.2800003e-02    2.3441615e+00    4.1452049e+01
   680    5.4400004e-02    2.4098568e+00    4.1059551e+01
   700    5.6000005e-02    2.4754484e+00    4.0994732e+01
   720    5.7600003e-02    2.5417213e+00    4.1420609e+01
   740    5.9200004e-02    2.6077127e+00    4.1244625e+01
   760    6.0800005e-02    2.6732969e+00    4.0990112e+01
   780    6.2400006e-02    2.7392862e+00    4.1243282e+01
   800    6.4000003e-02    2.8056250e+00    4.1461735e+01
   820    6.5600008e-02    2.8713064e+00    4.1050907e+01
   840    6.7200005e-02    2.9370909e+00    4.1115280e+01
   860    6.8800002e-02    3.0035527e+00    4.1538624e+01
   880    7.0400007e-02    3.0694191e+00    4.1166542e+01
   900    7.2000004e-02    3.1351070e+00    4.1054932e+01
   920    7.3600002e-02    3.2014656e+00    4.1474102e+01
   940    7.5200006e-02    3.2675929e+00    4.1329559e+01
