   6.5602840e+00    2.8881473e+00
   8.1203789e+00    4.7777776e+00
   9.6917865e+00    5.2941027e+00
   1.1271563e+01    5.6516889e+00
   1.2860301e+01    5.7456310e+00
   1.4462273e+01    5.4097810e+00
   1.6079115e+01    4.8702859e+00
   1.7690591e+01    5.5711068e+00
   1.9299778e+01    6.0141184e+00
   2.0915380e+01    5.8408730e+00
   2.2547492e+01    4.9823185e+00
   2.4174795e+01    5.4760462e+00
   2.5795038e+01    6.0959774e+00
   2.7420316e+01    5.9086830e+00
   2.9062119e+01    4.9681486e+00
   3.0695253e+01    5.6374572e+00
   3.2321575e+01    6.1807319e+00
   3.3955883e+01    5.7530371e+00
   3.5603785e+01    4.9632966e+00
   3.7237744e+01    5.9344866e+00
   3.8868962e+01    6.1814834e+00
   4.0514802e+01    5.3017070e+00
   4.2161144e+01    5.3281401e+00
   4.3794946e+01    6.1907351e+00
   4.5433186e+01    5.9532986e+00
   4.7087575e+01    4.9658058e+00
   4.8728183e+01    5.8910699e+00
   5.0364095e+01    6.2358231e+00
   5.2014548e+01    5.3380271e+00
   5.3665273e+01    5.3564423e+00
   5.5302837e+01    6.2369552e+00
   5.6945952e+01    5.9097660e+00
   5.8604037e+01    4.9835128e+00
   6.0246417e+01    6.0157292e+00
   6.1886203e+01    6.2102460e+00
   6.3543033e+01    5.1430899e+00
   6.5192813e+01    5.6165626e+00
   6.6832428e+01    6.2942651e+00
   6.8482143e+01    5.6654106e+00
   7.0140617e+01    5.1280921e+00
   7.1782662e+01    6.1997909e+00
   7.3427269e+01    6.0533819e+00
   7.5088814e+01    4.9903716e+00
   7.6735472e+01    5.9568936e+00
   7.8377678e+01    6.2608204e+00
   8.0036632e+01    5.2039292e+00
   8.1689817e+01    5.5863989e+00
   8.3331906e+01    6.3145460e+00
   8.4984254e+01    5.6685855e+00
   8.6644875e+01    5.1557489e+00
   8.8288820e+01    6.2355397e+00
   8.9936286e+01    6.0210483e+00
   9.1600028e+01    4.9959916e+00
   9.3247560e+01    6.0408064e+00
   9.4892253e+01    6.2350624e+00
   9.6554766e+01    5.1073414e+00
   9.8207427e+01    5.7444473e+00
   9.9851204e+01    6.3261473e+00
   1.0150870e+02    5.4557420e+00
